month,total_quantity,total_revenue,unique_customers
2010-12-01,342228.0,748957.0199999774,948
2011-01-01,308966.0,560000.2600000234,783
2011-02-01,277989.0,498062.6500000133,798
2011-03-01,351872.0,683267.0800000189,1020
2011-04-01,289098.0,493207.1210000249,899
2011-05-01,380391.0,723333.5100000103,1079
2011-06-01,341623.0,691123.1200000228,1051
2011-07-01,391116.0,681300.1110000301,993
2011-08-01,406199.0,682680.510000016,980
2011-09-01,549817.0,1019687.622000011,1302
2011-10-01,570532.0,1070704.6700000123,1425
2011-11-01,740286.0,1461756.2500000536,1711
2011-12-01,226333.0,433668.0100000171,686
